  platforms;android-37.0             | 2             | Android SDK Platform 37.0        | platforms/android-37.0            
  platforms;android-37.1             | 1             | Android SDK Platform 37.1        | platforms/android-37.1            
  platforms;android-37.2-beta1       | 1             | Android SDK Platform 37.2-beta1  | platforms/android-37.2-beta1      
  platforms;android-37.2-beta2       | 2             | Android SDK Platform 37.2-beta2  | platforms/android-37.2-beta2      
  platforms;android-37.0                                                          | 2                 | Android SDK Platform 37.0                                                       
  platforms;android-37.1                                                          | 1                 | Android SDK Platform 37.1                                                       
  platforms;android-37.2-beta1                                                    | 1                 | Android SDK Platform 37.2-beta1                                                 
  platforms;android-37.2-beta2                                                    | 2                 | Android SDK Platform 37.2-beta2                                                 
  platforms;android-37.2-beta3                                                    | 3                 | Android SDK Platform 37.2-beta3                                                 
